ID,a_num_id,b_num_id
1437,870,195
1438,871,183
1439,177,1407
1440,4,1408
1441,195,1409
1442,872,178
1443,178,872
1444,177,1143
1445,183,1143
1446,873,1186
1447,183,386
1448,874,3
1449,188,752
1450,875,177
1451,876,3
1452,877,177
1453,878,177
1454,879,177
1455,183,1410
1456,880,177
1457,195,186
1458,178,1411
1459,188,1412
1460,188,1148
1461,195,1120
1462,881,183
1463,882,177
1464,883,169
1465,884,177
1466,885,177
1467,178,886
1468,886,178
1469,887,195
1470,888,177
1471,889,177
1472,183,726
1473,890,195
1474,891,178
1475,169,1413
1476,195,892
1477,892,195
1478,893,195
1479,195,894
1480,894,195
1481,195,1414
1482,178,1415
1483,895,183
1484,896,178
1485,897,169
1486,898,195
1487,899,183
1488,900,4
1489,901,177
1490,900,178
1491,902,188
1492,903,230
1493,904,183
1494,905,3
1495,903,195
1496,903,183
1497,906,169
1498,903,188
1499,907,178
1500,908,188
1501,144,3
1502,909,177
1503,910,183
1504,911,183
1505,912,195
1506,913,188
1507,914,4
1508,914,178
1509,915,183
1510,916,188
1511,911,177
1512,917,230
1513,918,188
1514,919,1186
1515,920,177
1516,921,188
1517,922,183
1518,903,1186
1519,923,1186
1520,923,183
1521,924,230
1522,925,177
1523,877,183
1524,926,4
1525,927,3
1526,922,177
1527,922,230
1528,928,177
1529,922,4
1530,929,183
1531,922,169
1532,930,188
1533,931,177
1534,932,178
1535,933,183
1536,934,183
1537,935,177
1538,936,230
1539,937,177
1540,938,195
1541,939,178
1542,940,177
1543,928,188
1544,941,1186
1545,942,1186
1546,943,188
1547,944,188
1548,945,183
1549,946,177
1550,947,183
1551,948,177
1552,949,195
1553,914,169
1554,914,230
1555,903,3
1556,922,1186
1557,928,183
1558,950,177
1559,951,195
1560,952,178
1561,953,177
1562,902,230
1563,902,169
1564,903,169
1565,954,177
1566,922,178
1567,922,188
1568,955,178
1569,902,3
1570,956,169
1571,923,177
1572,902,178
1573,957,169
1574,931,183
1575,958,183
1576,959,169
1577,960,177
1578,12,4
1579,931,1186
1580,961,230
1581,705,183
1582,962,183
1583,146,4
1584,931,230
1585,963,177
1586,964,169
1587,903,4
1588,965,169
1589,966,4
1590,966,230
1591,966,169
1592,967,178
1593,966,178
1594,968,230
1595,925,183
1596,132,177
1597,969,183
1598,903,177
1599,11,4
1600,970,178
1601,971,178
1602,972,195
1603,973,1186
1604,973,195
1605,974,195
1606,903,178
1607,975,4
1608,975,230
1609,975,177
1610,976,195
1611,977,169
1612,978,188
1613,978,177
1614,978,183
1615,979,188
1616,980,195
1617,131,3
1618,981,177
1619,982,4
1620,983,177
1621,984,195
1622,141,3
1623,985,3
1624,986,195
1625,987,3
1626,988,178
1627,989,178
1628,13,4
1629,148,3
1630,990,195
1631,991,177
1632,992,177
1633,993,183
1634,994,169
1635,7,4
1636,147,3
1637,136,3
1638,995,169
1639,996,169
1640,969,177
1641,980,183
1642,997,169
1643,998,195
1644,999,4
1645,999,230
1646,999,178
1647,999,169
1648,1000,195
1649,1001,183
1650,1002,195
1651,1003,1186
1652,1004,177
1653,902,195
1654,1005,178
1655,1006,169
1656,1007,177
1657,1008,195
1658,1009,177
1659,1010,177
1660,1011,177
1661,1012,3
1662,1013,183
1663,1014,188
1664,1015,230
1665,1016,177
1666,1017,195
1667,1018,195
1668,1019,183
1669,1020,188
1670,1021,183
1671,1022,195
1672,1006,3
1673,1023,195
1674,1024,183
1675,915,178
1676,149,4
1677,1025,195
1678,1026,178
1679,1027,178
1680,959,1186
1681,900,195
1682,1028,195
1683,1029,177
1684,1030,4
1685,1031,195
1686,1032,177
1687,917,183
1688,1033,178
1689,1034,178
1690,1035,195
1691,1036,188
1692,1037,195
1693,1038,169
1694,1039,177
1695,1040,177
1696,130,4
1697,1041,177
1698,129,4
1699,1042,1186
1700,132,4
1701,1043,195
1702,1044,169
1703,1045,183
1704,1046,183
1705,902,183
1706,118,183
1707,1047,195
1708,1048,177
1709,1049,177
1710,1050,188
1711,1051,195
1712,902,1186
1713,904,178
1714,917,1186
1715,1052,188
1716,1053,177
1717,1054,178
1718,1055,169
1719,1056,188
1720,1057,183
1721,902,177
1722,1058,195
1723,1058,177
1724,1059,183
1725,1060,1186
1726,1061,195
1727,1062,178
1728,1063,195
1729,1064,3
1730,1065,177
1731,1066,178
1732,902,4
1733,1067,195
1734,1068,3
1735,1068,4
1736,1068,178
1737,1069,177
1738,1070,188
1739,1071,230
1740,1072,3
1741,1073,177
1742,1074,178
1743,1075,169
1744,1076,4
1745,1077,230
1746,1078,177
1747,1079,183
1748,1080,178
1749,1079,177
1750,1081,177
1751,1082,188
1752,1083,183
1753,1084,177
1754,1085,177
1755,139,3
1756,1086,195
1757,1087,183
1758,1088,183
1759,1089,230
1760,914,3
1761,1090,188
1762,1091,188
1763,1092,183
1764,1015,183
1765,1093,195
1766,1094,177
